word,count
SZ,629
ÉTTEREM,620
ABC,590
,433
ÉS,416
COOP,378
VEGYESBOLT,335
BÜFÉ,316
CBA,306
ÁRUHÁZ,303
ÉLELMISZER,287
ÜZLET,245
PAPÍR,243
SPAR,236
SZUPERMARKET,190
OPTIKA,186
ÍRÓSZER,184
PAPÍR ÍRÓSZER,181
BOLT,166
SZ SZUPERMARKET,164
BÉE,163
BÉE VEGYESBOLT,158
MARKET,145
PIZZÉRIA,142
DROGERIE,140
MARKT,140
DROGERIE MARKT,140
TESCO,131
HÚSBOLT,126
ROSSMANN,121
HÚS,113
ÁFÉSZ,108
CSEMEGE,106
SZAKÜZLET,105
VENDÉGLŐ,100
GYÓGYSZERTÁR,96
ÉLELMISZERBOLT,95
KÖNYVESBOLT,91
PENNY,89
SZ ABC,88
HOTEL,88
PENNY MARKET,87
SZOLNOK,86
PEPCO,84
MARKET ÁRUHÁZ,81
s,80
KÍNAI,79
CENTER,78
BUDAPEST,78
SPORT,77
REÁL,71
NYOMTATVÁNY,71
KÁVÉZÓ,71
2,66
CBA ÉLELMISZER,66
PIZZA,65
1,64
SZ ÁRUHÁZ,64
KFT,62
KONYHA,62
PATIKA,62
DEICHMANN,62
CIPŐBOLT,61
ALDI,61
ÉTELBÁR,59
SHOP,56
MINI,56
MINTABOLT,56
ÉTTEREM ÉS,55
MÁRKABOLT,54
PLAZA,53
HIPERMARKET,52
TESCO HIPERMARKET,52
AJÁNDÉK,51
STAR,51
COOP ABC,51
COOP SZOLNOK,51
DIVATÁRU,49
BAROMFI,49
PANZIÓ,49
ARZENÁL,48
HENTESÁRU,47
PÉKSÉG,46
CENTRUM,46
KIK,45
COOP STAR,45
AUCHAN,45
ABC CBA,45
CCC,44
DUNA,44
GRILL,44
DIVAT,43
KER,43
FASHION,42
GYROS,42
DR,42
CSÁRDA,42
BP,41
ÁRKÁD,41
A,41
SZ VEGYESBOLT,39
OFOTÉRT,39
II,38
BÁR,38
STÚDIÓ,38
ÍRÓSZER NYOMTATVÁNY,37
ÉS ÉTTEREM,36
EURONICS,36
DISZKONT,36
3,35
ÚT,35
SZENT,35
HÚS HENTESÁRU,35
KIRÁLY,35
ÉTKEZDE,35
PLAYERSROOM,35
Mcdonald,35
Mcdonald s,35
FITNESS,35
MAXI,35
PARK,35
4,34
EXPRESS,34
CUKRÁSZDA,34
BURGER,33
SÖRÖZŐ,33
VESZPRÉM,33
CAFÉ,32
GYORSÉTTEREM,32
CIPŐ,32
KÖZPONT,32
PONT,32
LIBRI,32
ÉTTERME,31
FALATOZÓ,31
PÉK,31
VEGYESKERESKEDÉS,31
PAPÍRBOLT,31
BUDAÖRS,31
KECSKEMÉT,30
DON,30
SZÉKESFEHÉRVÁR,30
STORE,30
IRODA,30
TAKKO,29
TAKKO FASHION,29
FORNETTI,28
BUDMIL,28
TRAVEL,27
CAFE,27
KING,27
MATRAC,27
VISION,26
LÍRA,26
BURGER KING,26
II ,26
BOLTJA,26
ARÉNA,26
C,26
UTAZÁSI,26
WESTEND,25
VISION EXPRESS,25
ÉLELMISZER ÜZLET,25
STOP,25
OUTLET,25
KFT ,25
ÁRUHÁZ BUDAPEST,25
KER ,25
UTAZÁSI IRODA,25
FOGADÓ,24
PARTNER,24
KERÉKPÁR,24
PEPE,24
MECSEK,24
PUB,24
MCDONALD,24
DUNAKESZI,24
MCDONALD s,24
PRÍMA,24
PALÓC,24
SZÍNHÁZ,24
UNIVER,23
UNIVER COOP,23
RESTAURANT,23
TÉR,23
DON PEPE,23
I,23
ÉLELMISZERÜZLET,23
RUHÁZAT,23
PALÓC COOP,23
INTERSPAR,23
FOGORVOS,23
ÉS PIZZÉRIA,23
KÖKI,23
KLUB,23
100,22
CORVIN,22
SZ ÜZLET,22
2 ,22
MECSEK COOP,22
TRADE,22
CITY,22
WORLD,22
SZ ÉLELMISZER,22
BŐRDÍSZMŰ,22
ÜZLETHÁZ,22
ZÖLDSÉG,21
FINOMPÉKÁRU,21
PRÍMA PÉK,21
PÉK FINOMPÉKÁRU,21
KORONA,21
CAMPONA,21
ALLEE,21
KÁVÉHÁZ,21
C A,21
YVES,21
ROCHER,21
YVES ROCHER,21
ROCHER MÁRKABOLT,21
KÍNAI BÜFÉ,21
RUHÁZATI,20
GÖDÖLLŐ,20
2 SZ,20
STOP SHOP,20
DUNA PLAZA,20
MM,20
EXPRESSZ,20
TESCO EXPRESSZ,20
1 ,20
6,19
PLÁZA,19
JÁTÉK,19
MINI ABC,19
JEANS,19
CLUB,19
FOGÁSZAT,19
PÓLUS,19
DUNAÚJVÁROS,19
TATABÁNYA,19
SZAKÁRUHÁZ,19
ÉRD,19
REÁL ÉLELMISZER,19
ISKOLA,19
GYÜMÖLCS,18
KÖNYVÁRUHÁZ,18
KONYHÁJA,18
NYOMTATVÁNYBOLT,18
ÁFÉSZ VEGYESBOLT,18
NEW,18
OPTIC,18
HÁZ,18
HÚS ÉS,18
CSEMEGE CBA,18
MAGYAR,18
LÁTVÁNYPÉKSÉG,18
ORSAY,18
MAXI COOP,18
5,17
ZÖLDSÉG GYÜMÖLCS,17
GYÓGYÁSZATI,17
GASTSZOLG,17
GASTSZOLG KFT,17
COOP ÉLELMISZERBOLT,17
KISVENDÉGLŐ,17
ABC ÁRUHÁZ,17
WELLNESS,17
JEGYIRODA,17
ÁFÉSZ ABC,17
TRIUMPH,17
EURONICS SZAKÁRUHÁZ,17
7,16
UTCA,16
U,16
YORKER,16
NEW YORKER,16
OFFICE,16
BISTRO,16
ALDI ÁRUHÁZ,16
VÁCI,16
MÚZEUM,16
1 SZ,16
